frame,type,mv_meanpx,hole_f%,psnr_dup,ssim_dup,psnr_lin,ssim_lin,psnr_fwd,ssim_fwd,psnr_bwd,ssim_bwd,psnr_blend,ssim_blend
1,B,3.55,26.4,20.71,0.8877,25.2,0.931,23.65,0.9217,22.5,0.8962,32.69,0.9663
3,B,4.66,65.0,19.3,0.8535,21.67,0.875,20.89,0.8706,20.08,0.8941,26.88,0.9374
5,B,2.56,43.9,20.46,0.8914,24.64,0.9261,22.47,0.9109,22.69,0.918,29.82,0.9648
7,B,2.5,71.6,19.52,0.8704,22.9,0.912,21.35,0.8917,20.66,0.9236,27.37,0.9583
9,B,2.92,49.0,17.2,0.849,20.05,0.8616,18.36,0.8767,17.27,0.8317,23.59,0.914
10,B,3.27,86.9,14.14,0.7606,20.7,0.8576,14.69,0.7796,23.88,0.9387,25.48,0.9309
17,B,4.5,30.4,18.75,0.8566,23.41,0.9291,20.55,0.8928,22.81,0.9207,29.81,0.9606
19,B,6.9,34.8,16.96,0.8014,20.81,0.8481,18.9,0.8981,20.76,0.8736,25.45,0.9393
24,B,8.08,59.4,15.64,0.7633,17.88,0.7952,16.98,0.8059,16.69,0.8121,20.75,0.861
25,B,8.33,66.9,13.5,0.7076,18.25,0.8006,14.53,0.7482,19.82,0.8668,22.22,0.8672
26,B,6.35,91.0,12.59,0.6787,21.58,0.8655,12.83,0.6832,27.18,0.9551,27.05,0.9162
28,B,5.35,28.9,21.43,0.8464,23.53,0.8565,25.44,0.9189,19.47,0.8499,32.82,0.9624
29,B,1.76,89.8,16.86,0.7201,23.56,0.9076,17.12,0.7261,30.21,0.9835,33.68,0.9781
31,B,2.9,21.0,21.85,0.9211,24.12,0.9118,23.35,0.9549,23.34,0.8885,31.98,0.98
