frame,type,mv_meanpx,hole_f%,psnr_dup,ssim_dup,psnr_lin,ssim_lin,psnr_fwd,ssim_fwd,psnr_bwd,ssim_bwd,psnr_blend,ssim_blend
1,P,4.3,13.8,10.83,0.7819,11.27,0.6954,14.17,0.9002,8.56,0.7208,13.43,0.7897
2,P,16.4,23.6,7.95,0.7043,9.58,0.6264,9.47,0.7621,7.54,0.6997,11.62,0.7553
3,P,12.92,30.6,7.22,0.695,9.98,0.6522,7.95,0.7221,8.2,0.766,13.13,0.819
4,P,4.01,25.6,7.93,0.7628,11.5,0.7729,8.42,0.7772,10.48,0.8575,15.1,0.8792
5,P,1.47,15.6,10.26,0.8545,13.55,0.8404,10.7,0.8643,11.77,0.894,17.58,0.9169
6,P,1.23,10.9,11.56,0.8904,14.68,0.8757,11.88,0.8971,12.69,0.9077,16.37,0.9124
7,P,3.62,7.4,11.98,0.9043,14.21,0.8867,13.32,0.9165,12.59,0.9138,17.76,0.9251
8,P,28.43,6.1,11.04,0.8939,12.63,0.8531,12.6,0.917,9.45,0.8428,15.34,0.8909
9,P,10.93,16.5,8.85,0.8262,10.76,0.7299,9.29,0.834,7.94,0.757,15.14,0.8474
10,P,7.54,25.8,7.45,0.7435,9.69,0.6134,7.68,0.7568,8.21,0.7369,13.0,0.7815
11,P,18.74,20.4,6.67,0.6652,9.6,0.5741,9.01,0.7857,8.36,0.7287,13.23,0.7476
12,P,16.05,21.2,7.13,0.6537,10.36,0.602,9.01,0.7756,9.15,0.7348,13.66,0.7482
13,P,12.14,23.1,8.36,0.6875,12.16,0.665,9.77,0.7732,12.97,0.828,15.58,0.8111
14,P,9.06,15.1,11.07,0.7525,14.4,0.7483,13.82,0.8583,13.22,0.8516,16.78,0.8471
