frame,type,mv_meanpx,hole_f%,psnr_dup,ssim_dup,psnr_lin,ssim_lin,psnr_fwd,ssim_fwd,psnr_bwd,ssim_bwd,psnr_blend,ssim_blend
1,B,0.4,4.1,24.27,0.9718,25.53,0.962,28.49,0.9869,19.65,0.9541,33.78,0.991
2,B,0.36,6.6,20.48,0.9541,23.68,0.9568,21.79,0.9661,24.18,0.9788,29.63,0.9852
3,B,0.35,14.6,18.39,0.9407,25.2,0.965,19.12,0.9474,31.52,0.9913,32.03,0.9888
5,B,0.33,4.4,23.71,0.9696,25.17,0.962,29.69,0.9885,19.43,0.9537,31.58,0.9877
6,B,0.47,8.5,20.11,0.953,23.57,0.9573,22.64,0.969,22.98,0.9748,30.52,0.9874
7,B,0.34,14.9,18.15,0.9398,25.29,0.9655,19.74,0.9521,33.03,0.9923,32.45,0.9895
9,B,0.33,2.8,23.92,0.9694,25.24,0.961,28.7,0.9872,18.96,0.9453,33.57,0.9906
10,B,0.42,7.0,20.21,0.9503,23.41,0.9544,22.62,0.9681,22.77,0.9707,30.25,0.9864
11,B,0.25,18.2,18.13,0.9356,24.87,0.963,18.54,0.9418,30.82,0.9913,31.37,0.9886
13,B,0.46,3.4,23.09,0.9658,24.26,0.9557,31.76,0.9903,17.49,0.9292,30.96,0.9874
14,B,0.65,6.0,19.56,0.9444,22.16,0.942,21.81,0.9654,20.74,0.96,28.56,0.9822
15,B,0.62,9.8,17.74,0.93,22.34,0.9421,19.03,0.946,25.65,0.9797,29.79,0.982
16,B,0.32,47.0,16.45,0.9142,24.81,0.9563,16.71,0.9205,34.26,0.9938,30.24,0.9859
18,B,0.39,4.4,24.03,0.9672,24.96,0.956,30.32,0.987,17.39,0.932,31.4,0.9861
19,B,0.6,8.5,20.18,0.946,22.36,0.9425,23.25,0.9667,20.21,0.9542,29.83,0.9835
20,B,0.64,16.8,18.08,0.9308,22.1,0.9412,19.39,0.9462,25.0,0.9745,28.12,0.9788
21,B,0.45,88.0,16.6,0.911,24.25,0.9535,16.87,0.9156,32.73,0.9933,30.78,0.9855
23,B,0.95,4.8,22.76,0.9653,21.27,0.8218,27.79,0.9868,11.57,0.3395,31.01,0.9871
24,B,2.03,93.0,11.71,0.3382,16.71,0.6113,12.05,0.3553,22.73,0.9696,27.77,0.9685
25,B,0.99,95.6,11.22,0.3219,20.67,0.8188,11.43,0.3297,29.36,0.9855,29.45,0.9757
27,B,1.38,3.5,21.18,0.8997,22.52,0.8897,26.07,0.9768,16.49,0.7217,29.5,0.9791
28,B,1.61,9.4,17.37,0.7645,20.76,0.8345,19.57,0.9462,20.96,0.8716,28.06,0.9762
29,B,1.41,42.4,15.37,0.6533,22.4,0.8871,16.27,0.8178,28.46,0.9782,29.44,0.9781
31,B,1.29,6.4,20.93,0.9008,22.32,0.8924,26.37,0.9754,16.9,0.7856,28.83,0.9778
32,B,1.9,17.1,17.21,0.7769,20.62,0.8367,21.2,0.9437,20.43,0.9386,28.79,0.9813
33,B,1.2,89.9,15.21,0.6533,22.33,0.8885,16.23,0.6849,27.7,0.9824,31.17,0.9832
35,B,1.21,5.0,21.11,0.9026,22.63,0.8938,28.01,0.9815,16.84,0.7565,29.82,0.9813
36,B,1.7,13.1,17.6,0.7732,21.18,0.8426,22.36,0.9547,20.29,0.9305,27.0,0.9758
37,B,0.97,93.4,15.72,0.6587,22.98,0.8973,16.02,0.6783,31.08,0.9862,28.88,0.9763
