frame,type,mv_meanpx,hole_f%,psnr_dup,ssim_dup,psnr_lin,ssim_lin,psnr_fwd,ssim_fwd,psnr_bwd,ssim_bwd,psnr_blend,ssim_blend
3,B,0.35,3.8,33.26,0.9615,33.73,0.9607,37.24,0.9878,26.84,0.8772,41.87,0.9945
4,B,0.43,7.5,29.99,0.9336,30.54,0.9304,32.99,0.9726,27.08,0.892,36.09,0.9882
5,B,0.45,10.1,28.8,0.9174,29.73,0.9161,31.19,0.9591,28.16,0.9159,35.14,0.9873
6,B,0.41,22.1,27.66,0.8949,29.97,0.9192,28.29,0.9099,32.06,0.9733,36.14,0.9905
7,B,0.31,29.6,26.37,0.8659,33.18,0.9625,26.52,0.8723,36.96,0.992,39.75,0.9935
9,B,0.28,11.1,34.44,0.9717,34.19,0.9662,40.67,0.9938,25.6,0.875,40.95,0.9943
10,B,0.66,11.6,30.1,0.9365,30.85,0.929,35.51,0.9795,27.79,0.9151,38.06,0.989
11,B,0.77,40.6,27.52,0.9016,30.07,0.9127,28.59,0.9224,32.87,0.97,38.45,0.9888
12,B,0.38,49.9,25.94,0.8707,31.96,0.9427,26.18,0.8739,36.42,0.9894,40.1,0.9926
14,B,0.32,7.2,32.74,0.9566,34.08,0.9626,37.09,0.9834,29.93,0.9352,41.9,0.9933
15,B,0.51,16.8,29.14,0.91,31.88,0.9368,31.25,0.9474,33.94,0.9692,43.07,0.9943
16,B,0.35,26.9,27.24,0.8763,31.33,0.9309,27.61,0.8879,39.5,0.9877,43.81,0.9953
17,B,0.2,31.4,26.92,0.8697,34.27,0.9628,26.92,0.87,45.65,0.9965,45.57,0.9963
19,B,0.45,5.4,31.19,0.9387,32.59,0.9458,37.91,0.985,29.06,0.9223,45.29,0.9959
20,B,0.57,21.1,27.42,0.8854,30.15,0.9177,28.48,0.9162,35.72,0.9785,40.88,0.9913
21,B,0.39,29.0,26.37,0.8662,30.74,0.9281,26.54,0.8723,39.02,0.9887,42.06,0.9933
22,B,0.27,34.0,26.26,0.8647,32.61,0.9496,26.34,0.8677,41.01,0.9929,44.31,0.9955
23,B,0.18,41.8,26.33,0.8656,35.57,0.9705,26.36,0.8659,43.85,0.9962,45.43,0.9969
25,B,0.83,7.4,30.49,0.9308,30.83,0.9278,36.69,0.9802,24.4,0.8941,42.07,0.9936
26,B,0.96,20.2,26.15,0.8614,27.07,0.8584,28.01,0.9067,26.28,0.9262,37.82,0.9876
27,B,1.2,26.8,24.77,0.8418,26.4,0.8449,25.56,0.8725,27.44,0.9427,37.28,0.9862
28,B,1.47,29.1,24.32,0.8463,26.81,0.8609,24.8,0.8622,29.02,0.962,36.67,0.9849
29,B,0.98,32.4,24.07,0.8584,28.06,0.8998,24.22,0.8614,33.15,0.9797,37.03,0.9871
30,B,0.43,42.2,23.55,0.8569,29.55,0.9361,23.55,0.857,37.02,0.9902,39.1,0.9928
